ticker,market_cap,net_debt,owner_earnings_norm,oe_yield,t10,dcf_growth_used,value_oe_yield,value_dcf,value_dcf_low,value_dcf_high,value_epv,value_conservative,implied_growth,margin_of_safety,years_of_data,latest_fy_end,roic_median_10y,roic_latest,roic_trend,gross_margin,gm_sigma_10y,gm_trend,op_margin,om_sigma_10y,fcf_ni_10y,incremental_roic_5y,rev_cagr_10y,rev_cagr_5y,rev_consistency,rev_drawdown_2020,nd_ebitda,interest_coverage,altman_z_coarse,share_cagr_10y,op_income_derived,sbc_fcf_10y,buyback_timing,dividend_years_10y,buyback_years_10y,owner_earnings,owner_earnings_3y_avg,maint_capex_proxy,moat_flag,structural_decline,leverage,dilution,accruals,altman_distress,late_filing,auditor_change,restatement,going_concern,eject,eject_reasons,demote_count,demote_reasons,needs_human_review,rank_score,verdict
AXON,45604654182.68793,609575000.0,225824333.33333334,0.004886467595091432,0.045,0.1,2047181862.7450986,4279831515.42749,3925163964.721601,4279831515.42749,2258243333.3333335,2047181862.7450986,,-21.276796708982133,11,2025-12-31,0.07591426710664832,-0.016114290075392636,-0.01813533935898995,0.5965474093517767,0.019799128844162916,-0.0032453090537521434,-0.02233322396256066,0.09783065078746249,1.1032250339745087,-0.017910265097060188,0.30243004623052716,0.3248437327961291,1.0,0.28282974795614657,28.910362817168604,-0.6587151679789469,3.384533817252793,0.04190333275394997,False,1.9794811574164013,1.0,0,1,124656000.0,225824333.33333334,"min(depreciation & amortization, capex)",False,False,True,True,False,False,False,True,True,False,True,leverage;restatement,2,dilution;auditor_change,substitution risk unassessed (cannot be automated),0.0,ejected
AXP,239209995224.84177,9966000000.0,9808000000.0,0.0393617370371084,0.045,0.040315477297395264,105422235294.11766,143377301029.74915,131303577050.28165,156486776351.6103,98080000000.0,98080000000.0,0.15901945397512401,-1.4389273575126609,11,2025-12-31,0.16835672959073092,0.24937845303867404,0.024158456890707128,,,,0.33398702304861516,0.05702416466638365,1.7404505784453015,0.7178427924767312,0.040315477297395264,0.13453160423162558,0.8,-0.2196455840051138,0.6399948625738505,,0.7177128977332424,-0.052620171741386,True,0.029915725969462327,0.09589907024521294,10,9,10833000000.0,9808000000.0,"min(depreciation & amortization, capex)",True,False,False,False,False,True,False,False,False,False,True,altman_distress,0,,substitution risk unassessed (cannot be automated),0.0,ejected
VEEV,30883717691.73987,-1421233000.0,,,0.045,0.1,,,,,,,,,11,2026-01-31,0.16613933092313998,0.12035326070492329,-0.009618026077455603,0.7552604425672493,0.028493169023408507,0.007470831474091008,0.2867855429408906,0.03379043850284987,0.27161635903411974,0.07818640684174394,0.22816162182164423,0.16877526262793308,1.0,0.28052446619733007,-1.5509396323969928,,11.209863457192025,0.014239302929544673,False,2.063707099519862,,0,1,,,"min(depreciation & amortization, capex)",True,False,False,True,True,False,False,False,False,False,False,,2,dilution;accruals,substitution risk unassessed (cannot be automated),0.0,pass
LYV,41839432569.807175,1105448000.0,675781666.6666666,0.01573602389155977,0.045,0.1,6844924549.0196085,12807440331.414452,11746093996.452278,12807440331.414452,6757816666.666666,6757816666.666666,,-5.191264817257129,11,2025-12-31,0.0802989524439774,0.6092925250097723,0.14090208823023237,,,,0.049648698171840096,0.2761591640322348,,,0.13275048403633583,0.6839429426424875,0.9,-0.8388307069407617,0.5848655804038857,3.959134014485829,,0.017797018542179854,False,0.17078279370968294,,0,1,495972000.0,675781666.6666666,"min(depreciation & amortization, capex)",False,False,True,False,False,False,False,False,False,False,True,leverage,0,,substitution risk unassessed (cannot be automated),0.0,ejected
VIAV,10627218124.45491,-177400000.0,21400000.0,0.0020478825320336645,0.045,0.02180676073131327,429164705.88235295,288380231.39111453,263983504.6352929,314886587.1256567,214000000.0,214000000.0,,-48.659897777826686,11,2025-06-28,0.09462087897130828,0.08451492344877617,0.034860102558685366,0.5728119524116941,0.014418009540358613,-0.0016957272367675658,0.05302960435303883,0.07685920984024619,8.367983367983369,-0.027697517091889536,0.02180676073131327,-0.009324802345522354,0.7,0.005308325223392085,-1.8498435870698644,1.9166666666666667,-112.00564836672656,-0.0030496789015415082,False,0.6356521739130435,-0.2585551330798479,0,10,45400000.0,21400000.0,"min(depreciation & amortization, capex)",False,True,True,True,False,True,False,False,False,False,True,leverage;altman_distress,2,structural_decline;dilution,substitution risk unassessed (cannot be automated),0.0,ejected
VICI,28639095915.887253,16209762000.0,2656802666.6666665,0.05923902614531286,0.045,0.1,15046739960.784313,50351827082.72565,46179195725.480965,50351827082.72565,26568026666.666664,15046739960.784313,-0.028514223969506015,-0.9033422515792873,9,2025-12-31,0.04722645158891177,0.08320031737050568,0.010912702664881235,0.993327701943728,0.005730976513107016,0.002203691611885629,0.9147495978648646,0.36408965745322475,0.9878839727609542,0.11870891724305727,0.46616798295444806,0.2672923004611798,0.875,0.369665555801421,4.418960097921886,4.343921509126211,2.2976815803498187,0.06502971766429666,True,0.007237723060759428,,8,0,2777795000.0,2656802666.6666665,"min(depreciation & amortization, capex)",False,False,True,True,False,False,False,False,False,False,True,leverage,1,dilution,substitution risk unassessed (cannot be automated),0.0,ejected
VICR,12400421217.93634,-402805000.0,59582666.666666664,0.004966208752167873,0.045,0.06353951295627369,1103777549.019608,964101072.8133955,883403769.7674403,1051651542.0316031,595826666.6666666,595826666.6666666,,-19.812128613360162,11,2025-12-31,0.08917437235743618,0.2650282427320309,0.017238571089854687,0.6363217161596366,0.0555364663133096,0.011890325983275916,0.20070590947777905,0.07480355278248033,0.5154692488488253,0.5428671893928563,0.06353951295627369,0.0657151867621284,0.7,0.12776402499077877,-3.9254390239148655,,16.900045263645442,0.01504348856659976,False,0.47215263635325994,0.9721350078492936,0,2,119024000.0,59582666.666666664,"min(depreciation & amortization, capex)",False,False,False,True,True,False,False,False,False,False,False,,2,dilution;accruals,substitution risk unassessed (cannot be automated),0.0,no moat evidence
VLO,83346063304.51355,4522000000.0,6553500000.0,0.07458341237462285,0.045,0.055179727780367616,72578000000.0,102242946866.19844,93666096261.12164,111550839016.04489,65535000000.0,65535000000.0,0.008697672528387781,-0.27177940496701836,10,2025-12-31,0.11129832889274868,0.08416986192693914,0.0077548624441588785,0.044275269588464956,0.030052559188006082,0.0012403612384833903,0.02592776740811985,0.03178733094270201,0.9499024072869225,,0.055179727780367616,0.13578129304273,0.4444444444444444,-0.40076068092020234,0.7133617289793343,5.721223021582734,,-0.04416643381586982,False,0.026113013698630137,0.39499101527403413,10,10,,6553500000.0,"min(depreciation & amortization, capex)",False,False,False,False,False,False,False,False,False,False,False,,0,,substitution risk unassessed (cannot be automated),0.0,no moat evidence
VMC,38310129796.25,4178800000.0,1007100000.0,0.023702644543635572,0.045,0.08782182774432101,7669435294.117649,18108349425.84501,16602601880.45817,19086598222.454727,10071000000.0,7669435294.117649,0.2658582180397776,-3.995169569477083,11,2025-12-31,0.08318597802271042,0.09928706687325638,0.0019484462878261455,0.2738411555074234,0.01714267144154005,-4.849254697750837e-05,0.20395159360793844,0.018984476130437352,0.8534606480474766,0.12063642063372296,0.08782182774432101,0.10333168192433528,0.8,-0.014667992128380436,1.7646214264600313,6.756779307467668,3.4741653099193783,-0.001785652703194529,False,0.06757078183557308,0.5476910029790032,10,8,1147500000.0,1007100000.0,"min(depreciation & amortization, capex)",False,False,False,False,False,False,False,False,False,False,False,,0,,substitution risk unassessed (cannot be automated),0.0,no moat evidence
UNP,170371938529.24698,32068000000.0,6754666666.666667,0.033366275033178815,0.045,0.011725721070148243,47398666666.66667,87062325994.5297,79678960285.52707,95086900588.058,67546666666.666664,47398666666.66667,0.1669664568989893,-2.59444580429647,11,2025-12-31,0.15172748255244276,0.15172748255244276,6.0522778519466405e-06,,,,0.40171358629130965,0.01902003825064111,0.7736937344492196,0.21959626283779746,0.011725721070148243,0.046441301388703726,0.6,-0.10019347705914872,2.6048249532938024,7.521772345301757,4.536694297805851,-0.037068541874644145,False,0.020081128489986843,0.16680561790547044,10,10,7138000000.0,6754666666.666667,"min(depreciation & amortization, capex)",False,False,False,False,False,False,False,False,False,False,False,,0,,substitution risk unassessed (cannot be automated),0.0,no moat evidence
