ticker,name,sector,earnings_date,session,implied_move_mid,implied_move_ask,fair_move,ci_low,ci_high,edge,z,score,structure,detail,entry_side,entry_price,max_gain,max_loss,spread_pct,spread_cost_pct_of_edge,open_interest,conf_mult,n_events,screened,screen_reason,flags,spot,expiry,atm_strike,straddle_bid,straddle_mid,straddle_ask
ALLE,Allegion,Industrials,2026-07-23,BMO,0.08599867949999687,0.10173460808935801,0.052474038401103,0.04338311011582893,0.061564966686377065,0.6388805230242998,4.7261598248376355,0.0,screened out,,,,,,0.3659574468085107,93.87679076379631,4,0.8333333333333333,12,True,spread > 10%,spread > 10%,136.6300048828125,2026-08-21,140.0,9.6,11.75,13.9
AMP,Ameriprise Financial,Financials,2026-07-23,BMO,0.07666350787617991,0.08919409410561988,0.034453854518933354,0.028936802851926763,0.039970906185939944,1.2251068551430486,9.805217534241114,0.0,screened out,,,,,,0.326898326898327,59.37308285091004,27,0.8333333333333333,12,True,spread > 10%,spread > 10%,506.760009765625,2026-08-21,510.0,32.5,38.85,45.2
AVB,AvalonBay Communities,Real Estate,2026-07-22,AMC,0.057078816769333136,0.07245621489440462,0.029335809934262134,0.023888264817532284,0.03478335505099198,0.9457044784936771,6.526873444449938,0.0,screened out,,,,,,0.5388127853881277,110.8560309737755,87,0.8333333333333333,12,True,spread > 10%,spread > 10%,191.83999633789062,2026-08-21,190.0,8.0,10.95,13.899999999999999
AXP,American Express,Financials,2026-07-24,BMO,0.0554794932539332,0.058331909359533876,0.03406056076160752,0.028929435566191507,0.03919168595702353,0.6288484984800584,5.349802009642648,0.0,screened out,,,,,,0.10282776349614413,26.634530984424106,382,0.8124999999999999,12,True,spread > 10%,spread > 10%,350.5799865722656,2026-07-24,350.0,18.45,19.450000000000003,20.450000000000003
BLK,BlackRock,Financials,2026-07-15,BMO,0.05013946466539732,0.05289013789535655,0.03348178880300335,0.027824258215429484,0.039139319390577215,0.4975145133494111,3.773462123586864,0.0,screened out,,,,,,0.10972088546679491,33.025894520724805,142,0.8333333333333333,12,True,spread > 10%,spread > 10%,1036.1099853515625,2026-07-17,1040.0,49.1,51.95,54.8
BNY,BNY Mellon,Financials,2026-07-15,BMO,0.04443128015637246,0.051671933218892414,0.027741586217452874,0.02130826794628886,0.03417490448861689,0.601612820842224,3.3248023571277816,0.0,screened out,,,,,,0.32592592592592584,86.76795499089518,896,0.8333333333333333,12,True,spread > 10%,spread > 10%,151.9199981689453,2026-07-17,150.0,5.65,6.75,7.85
BKR,Baker Hughes,Energy,2026-07-26,AMC,0.1111883225730729,0.11726893396378782,0.04466422339040634,0.03740548142039875,0.051922965360413936,1.4894269760650445,11.74546303819314,0.0,screened out,,,,,,0.10937500000000003,18.28092816114159,834,0.75,12,True,spread > 10%,spread > 10%; single-source date,57.560001373291016,2026-08-21,60.0,6.05,6.4,6.75
BX,Blackstone Inc.,Financials,2026-07-23,BMO,0.0694613717960447,0.07352344032212918,0.03426749605084572,0.02773679112868777,0.040798200973003663,1.0270337725574903,6.906524133713747,0.0,screened out,,,,,,0.11695906432748537,23.083951057243915,500,0.8333333333333333,12,True,spread > 10%,spread > 10%,123.08999633789062,2026-07-24,123.0,8.05,8.55,9.05
BRO,Brown & Brown,Financials,2026-07-27,AMC,0.10826189186421979,0.1537097167765032,0.048568970433133934,0.04101560403068662,0.05612233683558125,1.2290341116714947,10.12825858431713,0.0,screened out,,,,,,0.8395904436860069,152.27207455326806,48,0.8333333333333333,12,True,spread > 10%,spread > 10%,67.66000366210938,2026-08-21,70.0,4.25,7.325,10.4
CB,Chubb Limited,Financials,2026-07-21,AMC,0.06267429733367973,0.06526176832451971,0.02647887691083528,0.02151070199716185,0.031447051824508715,1.3669545179249316,9.337040587328769,0.0,screened out,,,,,,0.08256880733944974,14.297228547769173,472,0.8333333333333333,12,True,OI < 500,OI < 500; wide market,347.8299865722656,2026-08-21,350.0,20.9,21.8,22.700000000000003
